time_s,left_tension_N,right_tension_N,tension_difference_N,measured_tension_ratio,expected_tension_ratio,pulley_angle_rad,pulley_angular_velocity_rad_s,pulley_angular_acceleration_rad_s2,expected_angular_acceleration_rad_s2,pulley_torque_Nm,expected_pulley_torque_Nm,rope_material_speed_m_s,pulley_rim_speed_m_s,slip_speed_m_s,dissipated_power_W,cumulative_dissipation_J,mechanical_plus_cable_energy_J,energy_change_J,energy_balance_J,route_length_m,route_velocity_m_s,extension_m,route_tension_N,route_status,tangent_residual,surface_residual_m,left_displacement_m,right_displacement_m
0.0002,2.2493152919111914,2.261131641423726,0.011816349512534519,1.005253309553813,1.0052808990453739,4.127913186806522e-08,0.000609730477222882,5.908174756266892,5.908174756266891,0.0005908174756266891,0.0005908174756267259,0.00030992794689850605,3.0486523861144103e-05,0.00027944142303736193,3.3019775228895065e-06,6.603955045779014e-10,0.8644298526510457,1.0265104566364869e-07,0.8644298533114412,0.48707247528040554,0.0,0.00014999999999998348,2.249999999999752,0.0,7.609144537116076e-09,0.0,5.3787472222299154e-08,-8.365403067708365e-09
0.0012000000000000001,2.225214143823927,2.2678367848398864,0.042622641015959584,1.0191543996492467,1.0193509933449525,6.937343994565439e-06,0.01570047457071561,21.311320507979644,21.31132050797964,0.0021311320507979644,0.002131132050797979,0.001802696626770398,0.0007850237285357805,0.0010176728982346176,4.337590661312551e-05,2.8236857891596466e-08,0.8644308762887142,1.1262887141816336e-06,0.864430904525572,0.4870713265930804,-0.002296013860095988,0.00014885131267483587,2.232769690122538,0.0,5.8065627551736095e-08,0.0,1.9202956703073284e-06,-2.677670473147915e-07
0.0022000000000000006,2.1687456918478834,2.2198159378358393,0.05107024598795595,1.023548287002909,1.0237989990375573,3.4254173982595374e-05,0.03962017047411913,25.53512299397796,25.535122993977946,0.0025535122993977947,0.0025535122993977978,0.003230417571918845,0.0019810085237059565,0.0012494090482128885,6.380762743181025e-05,8.565377267441147e-08,0.8644317594646335,2.00946463346785e-06,0.8644318451184061,0.4870679641426203,-0.004354582316299774,0.00014548886221477098,2.1823329332215646,0.0,7.609386724793552e-09,6.938893903907228e-18,6.323967071495878e-06,-9.066232465231296e-07
0.003200000000000001,2.08745064663729,2.1395168815243895,0.052066234887099494,1.0249424986267215,1.0252103398133823,8.681035524757707e-05,0.06556949309028653,26.033117443550182,26.033117443550182,0.0026033117443550182,0.002603311744354975,0.0046012694985781135,0.003278474654514327,0.0013227948440637867,6.887294705846641e-05,1.5323981895430863e-07,0.8644323391347943,2.5891347943396426e-06,0.8644324923746133,0.48706282012474633,-0.005809393798497129,0.00014034484434077843,2.1051726651116764,0.0,7.609673416701898e-09,0.0,1.2954604669392334e-05,-2.117426870892605e-06
0.004200000000000001,1.9929552789532676,2.0435704860402666,0.05061520708699896,1.0253970611491006,1.0256704327674155,0.0001653023277637326,0.09129141225529008,25.30760354349993,25.307603543499926,0.002530760354349993,0.002530760354349948,0.005911274762577818,0.0045645706127645045,0.0013467041498133134,6.816370942771765e-05,2.2193241362069068e-07,0.8644325325289803,2.7825289803384834e-06,0.864432754461394,0.4870566257272454,-0.006427649915768063,0.00013415044683984245,2.012256702597637,0.0,7.61004662976596e-09,6.938893903907228e-18,2.1365984903697267e-05,-4.229041924195944e-06
0.005199999999999999,1.8989542387698455,1.9474754444953566,0.04852120572551111,1.025551540281952,1.025826767376607,0.0002690764975215082,0.11608143478699119,24.260602862755412,24.260602862755412,0.0024260602862755413,0.0024260602862755556,0.007158898442606939,0.00580407173934956,0.0013548267032573794,6.573782519116899e-05,2.886926131392646e-07,0.8644323435619065,2.593561906460984e-06,0.8644326322545196,0.48705027743125195,-0.006112836120844043,0.00012780215084640112,1.9170322626960168,0.0,3.2222676507348184e-08,0.0,3.1039516816122564e-05,-7.635858241895509e-06
0.006199999999999997,1.8191155209354437,1.86569703379113,0.04658151285568635,1.025606682104352,1.0258825629121915,0.00039711815583701827,0.13983966923052793,23.290756427843338,23.290756427843334,0.0023290756427843335,0.0023290756427843174,0.008349708897399461,0.006991983461526397,0.001357725435873064,6.324490484561126e-05,3.5290139160589776e-07,0.8644318379717021,2.087971702091629e-06,0.8644321908730936,0.48704469795103456,-0.004908777804897624,0.00012222267062900194,1.833340059435029,0.0,7.610958591846454e-09,0.0,4.145934969220426e-05,-1.2733219765538324e-05
0.0071999999999999955,1.7650589875950473,1.8102928195978374,0.045233832002790075,1.0256273769436015,1.0259035003160974,0.0005484754900048829,0.16276236465212532,22.616916001395722,22.616916001395722,0.0022616916001395723,0.0022616916001395038,0.0094969313986135,0.008138118232606266,0.0013588131660072344,6.146432647433938e-05,4.150009503395245e-07,0.86443110561426,1.3556142599568943e-06,0.8644315206152103,0.48704069924023,-0.002990177266888188,0.00011822395982447054,1.773359397367058,0.0,3.22267794834397e-08,0.0,5.218736405119361e-05,-1.9857647878230773e-05
0.008199999999999995,1.7446544782012683,1.7893795597604814,0.044725081559213065,1.02563549523303,1.025911712950535,0.0007224849483748692,0.1852140397820531,22.362540779606757,22.362540779606757,0.0022362540779606757,0.002236254077960653,0.010619941810150944,0.009260701989102655,0.0013592398210482883,6.079211185491069e-05,4.759641744955682e-07,0.8644302320418584,4.820418584294828e-07,0.8644307080060329,0.4870388634322996,-0.0006362299877682494,0.00011638815189402019,1.7458222784103028,0.0,3.222888030927752e-08,0.0,6.29269315633603e-05,-2.9237143424355862e-05
0.009199999999999998,1.7608726015139187,1.8060192309632794,0.045146629449360764,1.0256387823914948,1.025915038114013,0.0009188959997842178,0.20764327843383212,22.57331472468011,22.573314724680102,0.0022573314724680105,0.0022573314724680382,0.011741576487877685,0.010382163921691607,0.001359412566186078,6.137289539441326e-05,5.370042910637764e-07,0.864429291984732,-4.5801526804556403e-07,0.864429828989023,0.4870394578037105,0.0018103269252479806,0.00011698252330494263,1.7547378495741395,0.0,3.2230963078076953e-08,0.0,7.356609824967377e-05,-4.0957759647876186e-05
