time_s,smooth_displacement_m,rough_displacement_m,smooth_upstream_tension_N,smooth_downstream_tension_N,rough_upstream_tension_N,rough_downstream_tension_N,rough_turn_angle_rad
0.0005,0.0,0.0,2.0000000000000004,2.0000000000000004,2.0000000000000004,0.9863824034065753,1.5707963267948966
0.005500000000000001,8.469051140605118e-05,-1.973219333126527e-05,1.9755696342669182,1.9755696342669182,2.005704059594461,0.9891955954125545,1.5707963267948966
0.010500000000000006,0.0003341825490931527,-7.828947393691256e-05,1.9437680168223703,1.9437680168223703,2.013228920015362,0.9929067903661881,1.5707963267948966
0.01550000000000001,0.0007405194562656167,-0.00017458020786170666,1.9051623298989855,1.9051623298989855,2.022499098653887,0.9974787609089265,1.5707963267948966
0.020500000000000015,0.0012943999499449538,-0.00030734330529708705,1.8603708082743915,1.8603708082743915,2.0334317859916116,1.0028706661148652,1.5707963267948966
0.02550000000000002,0.001985317411723616,-0.00047515809565063156,1.8100547372698983,1.8100547372698983,2.0459374163246884,1.0090383329668924,1.5707963267948966
0.030500000000000024,0.002801706949932918,-0.0006764548117317777,1.7549102724172485,1.7549102724172485,2.059920261154554,1.0159345490117644,1.5707963267948966
0.035500000000000025,0.003731098473107956,-0.0009095256173106455,1.6956601703743688,1.6956601703743688,2.075279041765664,1.0235093644780549,1.5707963267948966
0.04050000000000003,0.004760274010803739,-0.0011725361108896179,1.633045518642716,1.633045518642716,2.091907557484402,1.0317104021279213,1.5707963267948966
0.045500000000000033,0.005875427532169558,-0.0014635372374804771,1.5678175487808095,1.5678175487808095,2.1096953261053635,1.0404831731097133,1.5707963267948966
0.05050000000000004,0.007062325544479836,-0.0017804775395011195,1.5007296141771638,1.5007296141771638,2.128528232981188,1.0497713970833673,1.5707963267948966
0.05550000000000004,0.008306466802152244,-0.002121215677591067,1.4325294091038845,1.4325294091038845,2.1482891852997374,1.059517324904154,1.5707963267948966
0.06050000000000005,0.00959323952062073,-0.0024835331521883795,1.3639515007872198,1.3639515007872198,2.168858768117168,1.069662062172418,1.5707963267948966
0.06550000000000004,0.010908074567610462,-0.0028651471571045244,1.2957102406753809,1.2957102406753809,2.190115898776675,1.080145891987144,1.5707963267948966
0.07050000000000005,0.012236593195613182,-0.0032637234970691736,1.2284931150329974,1.2284931150329974,2.2119384764198764,1.0909085952792579,1.5707963267948966
