case,time_s,rope_speed_m_s,analytic_speed_m_s,speed_error_m_s,acceleration_m_s2,pulley_rim_speed_m_s,left_tension_N,right_tension_N,tension_ratio,capstan_static_upper_ratio,transport_distance_m,equation_11_residual_m2_s2,kinetic_wrap_residual_N,regime
sliding_limited,0.0,0.0,0.0,0.0,3.5446330424636234,2.24,0.7048537827228425,1.5023962172771577,2.131500538272516,2.1932800507380152,0.0,0.0,-4.440892098500626e-16,sliding
sliding_limited,0.0020000000000000005,0.007089231540478188,0.007089225682138183,5.858340004945284e-09,3.544572438456176,2.24,0.7048606006736803,1.5024019636272785,2.1314880732322634,2.1932800507380152,7.798172693973187e-06,0.0,-1.1102230246251565e-16,sliding
sliding_limited,0.004000000000000001,0.014178232790182517,0.014178208954173363,2.383600915430162e-08,3.5443906343085545,2.24,0.7048810536402877,1.5024192019309757,2.1314506811778835,2.1932800507380152,2.977459514544857e-05,0.0,-5.551115123125783e-17,sliding
sliding_limited,0.0059999999999999975,0.021266761367917282,0.021266707439157435,5.392875984666645e-08,3.544087654264403,2.24,0.7049151388952547,1.5024479298895155,2.1313883714345483,2.1932800507380152,6.592854014583616e-05,0.0,1.6653345369377348e-16,sliding
sliding_limited,0.007999999999999995,0.02835457495588792,0.028354478826442486,9.612944543505031e-08,3.543663539136614,2.24,0.704962851847131,1.5024881436331015,2.1313011596232467,2.1932800507380152,0.00011625879578842785,0.0,1.1102230246251565e-16,sliding
sliding_limited,0.01,0.03544143133282976,0.035441280904806784,1.5042802297554614e-07,3.5431183462956075,2.24,0.7050241860417443,1.5025398377219858,2.1311890676513907,2.1932800507380152,0.000180763665631645,0.0,-3.3306690738754696e-16,sliding
sliding_limited,0.012000000000000005,0.04252708840710898,0.042526871595551845,2.168115571382634e-07,3.5424521496528016,2.24,0.7050991331640599,1.5026030051480368,2.1310521236996283,2.1932800507380152,0.0002594409689285146,0.0,-5.551115123125783e-17,sliding
sliding_limited,0.01400000000000001,0.04961130424978625,0.04961100898556111,2.9526422513914685e-07,3.5416650396392813,2.24,0.7051876830405809,1.5026776373367605,2.130890362204876,2.1932800507380152,0.00035228804092230827,0.0,0.0,sliding
sliding_limited,0.016000000000000014,0.056693837127633276,0.05669345136031045,3.8576732282885606e-07,3.540757123179682,2.24,0.7052898236422858,1.502763724149778,2.1307038238396037,2.1932800507380152,0.00045930173320825747,0.0,-5.551115123125783e-17,sliding
sliding_limited,0.018000000000000002,0.06377444553609289,0.06377395723682104,4.882992718502344e-07,3.5397285236612945,2.24,0.7054055410881045,1.5028612538877548,2.1304925554873817,2.1932800507380152,0.0005804784141612422,0.0,-1.1102230246251565e-16,sliding
sliding_limited,0.01999999999999999,0.07085288823217314,0.07085228539654517,6.028356279719205e-07,3.538579380898405,2.24,0.7055348196489295,1.5029702132937808,2.1302566102147176,2.1932800507380152,0.0007158139694293284,0.0,-1.6653345369377348e-16,sliding
sliding_limited,0.021999999999999978,0.07792892426726561,0.07792819491817518,7.293490904280997e-07,3.5373098510919028,2.24,0.705677641752161,1.5030905875572027,2.129996047239228,2.1932800507380152,0.0008653038024930114,0.0,2.220446049250313e-16,sliding
sliding_limited,0.023999999999999966,0.08500231301987883,0.08500144521036637,8.678095124586838e-07,3.5359201067841513,2.24,0.7058339879867831,1.5032223603178996,2.129710931894155,2.1932800507380152,0.001028942835290005,0.0,-5.551115123125783e-17,sliding
sliding_limited,0.025999999999999954,0.09207281422827712,0.09207179604436423,1.0181839128903247e-06,3.534410336809167,2.24,0.7060038371089689,1.50336551367101,2.129401335589302,2.1932800507380152,0.0012067255089053951,0.0,-4.440892098500626e-16,sliding
sliding_limited,0.02799999999999994,0.0991401880230157,0.09913900758652695,1.1804364887513241e-06,3.532780746238121,2.24,0.7061871660482115,1.5035200281720984,2.1290673357683945,2.1932800507380152,0.001398645784326955,0.0,-3.3306690738754696e-16,sliding
sliding_limited,0.02999999999999993,0.10620419495936245,0.10620284043073348,1.3545286289690095e-06,3.5310315563201864,2.24,0.706383949913979,1.5036858828427626,2.12870901586294,2.1932800507380152,0.0016046971432654145,0.0,5.551115123125783e-17,sliding
sliding_limited,0.03199999999999992,0.11326459604959732,0.11326305563066805,1.5404189292744785e-06,3.5291630044187725,2.24,0.7065941620028882,1.5038630551766816,2.128326465242625,2.1932800507380152,0.0018248725890394326,0.0,0.0,sliding
sliding_limited,0.033999999999999905,0.12032115279517998,0.1203194147319721,1.7380632078844993e-06,3.5271753439431652,2.24,0.706817773806394,1.5040515211460965,2.127919779162309,2.1932800507380152,0.0020591646475250306,0.0,2.220446049250313e-16,sliding
sliding_limited,0.03599999999999989,0.12737362721877682,0.12737167980425423,1.947414522585067e-06,3.5250688442756144,2.24,0.7070547550189935,1.5042512552087237,2.127489058705666,2.1932800507380152,0.0023075653681692027,0.0,-3.3306690738754696e-16,sliding
sliding_limited,0.03799999999999988,0.13442178189613785,0.1344196134729494,2.168423188453339e-06,3.5228437906939054,2.24,0.7073050735469357,1.5044622303150976,2.127034410725549,2.1932800507380152,0.0025700663250674215,0.0,-1.1102230246251565e-16,sliding
sliding_limited,0.03999999999999987,0.14146537998781475,0.14146297895101775,2.401036796995104e-06,3.5205004842894434,2.24,0.7075686955174377,1.5046844179163368,2.126555947781122,2.1932800507380152,0.0028466586181047217,0.0,-1.1102230246251565e-16,sliding
sliding_limited,0.04199999999999986,0.1485041852707111,0.14850154007047525,2.6452002358512416e-06,3.518039241880903,2.24,0.7078455852883985,1.504917787972331,2.126053788071844,2.1932800507380152,0.0031373328741600387,0.0,-1.6653345369377348e-16,sliding
sliding_limited,0.043999999999999845,0.15553796216945617,0.15553506131374611,2.900855710058492e-06,3.5154603959234767,2.24,0.708135705458609,1.5051623089603479,2.1255280553683726,2.1932800507380152,0.003442079248373449,0.0,-4.440892098500626e-16,sliding
sliding_limited,0.04599999999999983,0.16256647578759284,0.1625633078448289,3.1679427639486057e-06,3.5127642944137722,2.24,0.7084390168784507,1.505417947884049,2.124978878940456,2.1932800507380152,0.0037608874254759644,0.0,0.0,sliding
sliding_limited,0.04799999999999982,0.16958949193857178,0.16958604554026788,3.446398303907916e-06,3.5099513007903993,2.24,0.7087554786610801,1.5056846702829159,2.1244063934818898,2.1932800507380152,0.004093746621181481,0.0,2.220446049250313e-16,sliding
sliding_limited,0.04999999999999981,0.17660677717654288,0.17660304101992041,3.736156622469178e-06,3.5070217938303005,2.24,0.7090850481940912,1.5059624402420804,2.123810739032629,2.1932800507380152,0.004440645583640505,0.0,1.6653345369377348e-16,sliding
sliding_limited,0.051999999999999796,0.18361809882693547,0.18361406167751232,4.037149423152808e-06,3.5039761675408756,2.24,0.7094276811516517,1.506251220402553,2.1231920608981247,2.1932800507380152,0.004801572594955219,0.0,-3.885780586188048e-16,sliding
